(FFA) venkateshtantravahi@Venkateshs-Air FF % python main.py
seed: 42
device: cpu
run:
  dir: logs
input:
  path: datasets
  batch_size: 256
model:
  peer_normalization: 0.03
  momentum: 0.9
  activation: t_distribution
  hidden_dim: 1000
  num_layers: 4
training:
  epochs: 200
  learning_rate: 0.001
  weight_decay: 0.003
  momentum: 0.9
  downstream_learning_rate: 0.01
  downstream_weight_decay: 0.003
  val_idx: -1
  final_test: true

FF_model(
  (model): ModuleList(
    (0): Linear(in_features=3072, out_features=1000, bias=True)
    (1-3): 3 x Linear(in_features=1000, out_features=1000, bias=True)
  )
  (ff_loss): BCEWithLogitsLoss()
  (linear_classifier): Sequential(
    (0): Linear(in_features=3000, out_features=10, bias=False)
  )
  (classification_loss): CrossEntropyLoss()
)

Files already downloaded and verified
Visualization saved to visualized_sample.png
Epoch 0         train           Time: 0:00:13.120140    Loss: 1974.4692         Peer Normalization: 35.1905     loss_layer_0: 490.2478  ff_accuracy_layer_0: 0.5000     loss_layer_1: 489.1088     ff_accuracy_layer_1: 0.5000     loss_layer_2: 479.1050  ff_accuracy_layer_2: 0.5000     loss_layer_3: 477.5350  ff_accuracy_layer_3: 0.5000     classification_loss: 37.4169       classification_accuracy: 0.1058
Epoch 1         train           Time: 0:00:05.632462    Loss: 1561.1499         Peer Normalization: 160.7395    loss_layer_0: 442.4597  ff_accuracy_layer_0: 0.5000     loss_layer_1: 384.4691     ff_accuracy_layer_1: 0.5000     loss_layer_2: 339.3705  ff_accuracy_layer_2: 0.5000     loss_layer_3: 339.8843  ff_accuracy_layer_3: 0.5000     classification_loss: 50.1442       classification_accuracy: 0.0991
Epoch 2         train           Time: 0:00:05.760616    Loss: 1020.6387         Peer Normalization: 103.2296    loss_layer_0: 363.8934  ff_accuracy_layer_0: 0.5000     loss_layer_1: 226.9947     ff_accuracy_layer_1: 0.5000     loss_layer_2: 186.6902  ff_accuracy_layer_2: 0.5000     loss_layer_3: 188.0925  ff_accuracy_layer_3: 0.5000     classification_loss: 51.8709       classification_accuracy: 0.1047
Epoch 3         train           Time: 0:00:05.755728    Loss: 601.1816  Peer Normalization: 39.2180     loss_layer_0: 294.0949  ff_accuracy_layer_0: 0.5000     loss_layer_1: 108.2678     ff_accuracy_layer_1: 0.5000     loss_layer_2: 76.9492   ff_accuracy_layer_2: 0.5000     loss_layer_3: 77.7290   ff_accuracy_layer_3: 0.5000     classification_loss: 42.9641       classification_accuracy: 0.0988
Epoch 4         train           Time: 0:00:05.848810    Loss: 326.3037  Peer Normalization: 15.5772     loss_layer_0: 240.1055  ff_accuracy_layer_0: 0.5000     loss_layer_1: 29.0986      ff_accuracy_layer_1: 0.5000     loss_layer_2: 7.7642    ff_accuracy_layer_2: 0.5000     loss_layer_3: 7.9202    ff_accuracy_layer_3: 0.5000     classification_loss: 40.9478       classification_accuracy: 0.1005
Epoch 5         train           Time: 0:00:05.924813    Loss: 270.3586  Peer Normalization: 11.9483     loss_layer_0: 205.5366  ff_accuracy_layer_0: 0.5000     loss_layer_1: 12.7624      ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.6940    ff_accuracy_layer_2: 0.5001     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 50.3137       classification_accuracy: 0.0981
Epoch 6         train           Time: 0:00:05.982748    Loss: 238.3523  Peer Normalization: 11.2782     loss_layer_0: 185.8940  ff_accuracy_layer_0: 0.5000     loss_layer_1: 11.3821      ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.6942    ff_accuracy_layer_2: 0.4999     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 39.3502       classification_accuracy: 0.0998
Epoch 7         train           Time: 0:00:06.022963    Loss: 227.3970  Peer Normalization: 10.7811     loss_layer_0: 172.6082  ff_accuracy_layer_0: 0.5000     loss_layer_1: 9.8923       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.6954    ff_accuracy_layer_2: 0.5001     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.1843       classification_accuracy: 0.1001
Epoch 8         train           Time: 0:00:05.945551    Loss: 221.1558  Peer Normalization: 10.2984     loss_layer_0: 163.2402  ff_accuracy_layer_0: 0.5000     loss_layer_1: 8.4684       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.6974    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 47.7474       classification_accuracy: 0.0993
Epoch 9         train           Time: 0:00:05.598803    Loss: 205.7770  Peer Normalization: 9.9657      loss_layer_0: 154.0166  ff_accuracy_layer_0: 0.5000     loss_layer_1: 6.8283       ff_accuracy_layer_1: 0.4999     loss_layer_2: 0.7003    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.2394       classification_accuracy: 0.0992
Epoch 10        train           Time: 0:00:05.711654    Loss: 195.5439  Peer Normalization: 9.6281      loss_layer_0: 146.0510  ff_accuracy_layer_0: 0.5000     loss_layer_1: 5.3320       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.7041    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 42.4746       classification_accuracy: 0.0999
Epoch 11        train           Time: 0:00:05.681112    Loss: 184.4721  Peer Normalization: 9.3855      loss_layer_0: 137.7106  ff_accuracy_layer_0: 0.5001     loss_layer_1: 4.1180       ff_accuracy_layer_1: 0.4999     loss_layer_2: 0.7080    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 40.9605       classification_accuracy: 0.0995
Epoch 12        train           Time: 0:00:05.694914    Loss: 179.3834  Peer Normalization: 9.1300      loss_layer_0: 132.0915  ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.6213       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.7107    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 41.9925       classification_accuracy: 0.1014
Epoch 13        train           Time: 0:00:05.697296    Loss: 171.1933  Peer Normalization: 8.8628      loss_layer_0: 124.5401  ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.4744       ff_accuracy_layer_1: 0.5001     loss_layer_2: 0.7116    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 41.5078       classification_accuracy: 0.0994
Epoch 14        train           Time: 0:00:05.913533    Loss: 167.6648  Peer Normalization: 8.5277      loss_layer_0: 118.5624  ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.4443       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.7111    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.9978       classification_accuracy: 0.1007
Epoch 15        train           Time: 0:00:05.906813    Loss: 157.3441  Peer Normalization: 8.3257      loss_layer_0: 111.6972  ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.4324       ff_accuracy_layer_1: 0.5001     loss_layer_2: 0.7099    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 40.5614       classification_accuracy: 0.1007
Epoch 16        train           Time: 0:00:05.910281    Loss: 155.3139  Peer Normalization: 8.0360      loss_layer_0: 106.5997  ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.4536       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.7084    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.6177       classification_accuracy: 0.1002
Epoch 17        train           Time: 0:00:05.940237    Loss: 157.4339  Peer Normalization: 7.8262      loss_layer_0: 101.9254  ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.3965       ff_accuracy_layer_1: 0.4999     loss_layer_2: 0.7068    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 50.4770       classification_accuracy: 0.0999
Epoch 18        train           Time: 0:00:06.017565    Loss: 143.6658  Peer Normalization: 7.5620      loss_layer_0: 97.7477   ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.4044       ff_accuracy_layer_1: 0.4999     loss_layer_2: 0.7051    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 40.8883       classification_accuracy: 0.1022
Epoch 19        train           Time: 0:00:05.942657    Loss: 139.9724  Peer Normalization: 7.3664      loss_layer_0: 94.8166   ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.3735       ff_accuracy_layer_1: 0.4999     loss_layer_2: 0.7037    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 40.1642       classification_accuracy: 0.0982
Epoch 20        train           Time: 0:00:05.953482    Loss: 140.7391  Peer Normalization: 7.0662      loss_layer_0: 92.4016   ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.3268       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.7025    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.4029       classification_accuracy: 0.0962
Epoch 21        train           Time: 0:00:05.952851    Loss: 137.7482  Peer Normalization: 6.9098      loss_layer_0: 90.7478   ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.3162       ff_accuracy_layer_1: 0.5001     loss_layer_2: 0.7014    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 42.0821       classification_accuracy: 0.1006
Epoch 22        train           Time: 0:00:05.981144    Loss: 137.1420  Peer Normalization: 6.6990      loss_layer_0: 88.4527   ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.2739       ff_accuracy_layer_1: 0.5001     loss_layer_2: 0.7006    ff_accuracy_layer_2: 0.4999     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.8205       classification_accuracy: 0.1002
Epoch 23        train           Time: 0:00:05.964291    Loss: 134.2127  Peer Normalization: 6.5460      loss_layer_0: 86.8516   ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.2270       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.6998    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 42.5446       classification_accuracy: 0.1039
Epoch 24        train           Time: 0:00:06.066905    Loss: 135.2758  Peer Normalization: 6.3728      loss_layer_0: 85.6692   ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.2042       ff_accuracy_layer_1: 0.5001     loss_layer_2: 0.6993    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 44.8185       classification_accuracy: 0.1006
Epoch 25        train           Time: 0:00:06.026893    Loss: 133.1538  Peer Normalization: 6.2444      loss_layer_0: 84.7392   ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.2267       ff_accuracy_layer_1: 0.5002     loss_layer_2: 0.6988    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.6083       classification_accuracy: 0.0968
Epoch 26        train           Time: 0:00:06.040792    Loss: 131.4538  Peer Normalization: 6.1370      loss_layer_0: 83.4538   ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.1922       ff_accuracy_layer_1: 0.5001     loss_layer_2: 0.6984    ff_accuracy_layer_2: 0.4999     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.2318       classification_accuracy: 0.1027
Epoch 27        train           Time: 0:00:06.017418    Loss: 131.7287  Peer Normalization: 5.9621      loss_layer_0: 83.4757   ff_accuracy_layer_0: 0.5000     loss_layer_1: 3.2060       ff_accuracy_layer_1: 0.4999     loss_layer_2: 0.6981    ff_accuracy_layer_2: 0.4999     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 43.4767       classification_accuracy: 0.0988
Epoch 28        train           Time: 0:00:06.034415    Loss: 129.1052  Peer Normalization: 5.8706      loss_layer_0: 82.3782   ff_accuracy_layer_0: 0.5001     loss_layer_1: 3.2098       ff_accuracy_layer_1: 0.5000     loss_layer_2: 0.6978    ff_accuracy_layer_2: 0.5000     loss_layer_3: 0.6934    ff_accuracy_layer_3: 0.5000     classification_loss: 41.9498       classification_accuracy: 0.1006
